x,y,z,Bx,By,Bz
0.004,0,-0.0035,-0.326189,-0.0200167,0.605804
0.004,0,-0.003,-0.322604,-0.0304939,0.748424
0.004,0,-0.0025,-0.250057,-0.0408974,0.886792
0.004,0,-0.002,-0.12852,-0.041165,0.941131
0.004,0,-0.0015,-0.056959,-0.0305373,0.897153
0.004,0,-0.001,-0.0711425,-0.0199767,0.837391
0.004,0,-0.0005,-0.135303,-0.0144383,0.814038
0.004,0,0,-0.221481,-0.0138152,0.83699
0.004,0,0.0005,-0.317147,-0.0177472,0.909257
0.004,0,0.001,-0.411935,-0.0270467,1.03985
0.004,0,0.0015,-0.483018,-0.044046,1.24479
0.004,0,0.002,-0.473537,-0.0718356,1.53139
0.004,0,0.0025,-0.29312,-0.106982,1.83804
0.004,0,0.003,0.0645284,-0.126798,1.99374
0.004,0,0.0035,0.427321,-0.111835,1.88406
0.004,0,0.004,0.634898,-0.0776088,1.59071
0.004,0,0.0045,0.675137,-0.0473952,1.26912
0.004,0,0.005,0.624347,-0.0272315,1.00775
0.004,0,0.0055,0.545822,-0.0149429,0.813884
0.004,0,0.006,0.466644,-0.00768831,0.670437
0.004,0,0.0065,0.395506,-0.00345054,0.561872
0.004,0,0.007,0.334308,-0.000983945,0.477532
0.004,0,0.0075,0.282623,0.000442411,0.410427
0.004,0,0.008,0.239311,0.00125189,0.355937
0.004,0,0.0085,0.203114,0.00169123,0.310945
0.004,0,0.009,0.17287,0.00190643,0.273288
0.004,0,0.0095,0.147569,0.0019854,0.241424
0.004,0,0.01,0.126363,0.00198198,0.214221
0.0045,0,-0.01,-0.0525456,0.000105062,0.0960621
0.0045,0,-0.0095,-0.0601783,6.63915e-05,0.105796
0.0045,0,-0.009,-0.0691564,6.2837e-06,0.116828
0.0045,0,-0.0085,-0.07976,-8.48096e-05,0.129391
0.0045,0,-0.008,-0.0923379,-0.000221083,0.143782
0.0045,0,-0.0075,-0.107329,-0.000424046,0.160386
0.0045,0,-0.007,-0.125291,-0.000727026,0.179726
0.0045,0,-0.0065,-0.146938,-0.00118302,0.202536
0.0045,0,-0.006,-0.17319,-0.00187875,0.229892
0.0045,0,-0.0055,-0.205239,-0.00296068,0.263466
0.0045,0,-0.005,-0.244577,-0.00468397,0.306004
0.0045,0,-0.0045,-0.292867,-0.00750647,0.362333
0.0045,0,-0.004,-0.350885,-0.0122757,0.441479
0.0045,0,-0.0035,-0.412918,-0.0206511,0.56066
0.0045,0,-0.003,-0.441691,-0.0359362,0.744777
0.0045,0,-0.0025,-0.324799,-0.0575964,0.966468
0.0045,0,-0.002,-0.0531712,-0.0563464,1.03326
0.0045,0,-0.0015,0.0682393,-0.0315077,0.89153
0.0045,0,-0.001,0.00491315,-0.0152349,0.764109
0.0045,0,-0.0005,-0.109114,-0.00909789,0.713903
0.0045,0,0,-0.23459,-0.00869171,0.723693
0.0045,0,0.0005,-0.370132,-0.0125225,0.786037
0.0045,0,0.001,-0.519098,-0.0214861,0.911802
